,Publication_Date,Job_type,company_name,Job_name,City,country
0,2022-12-01,external,Siemens,Science and Engineering,Shanghai, China
1,2023-02-10,external,Siemens,Software Engineering,Spartanburg, SC
2,2023-01-16,external,Siemens,Sales,Fremont, CA
3,2023-01-28,external,Siemens,Software Engineering,Igualada, Spain
4,2023-01-10,external,Siemens,Unknown,Munich, Germany
5,2023-02-27,external,SpaceX,Farming and Outdoors,El Segundo, CA
6,2023-02-21,external,Siemens,Science and Engineering,Norwood, MA
7,2023-01-31,external,Siemens,Manufacturing and Warehouse,Nürnberg, Germany
8,2023-03-03,external,Siemens,Software Engineering,Midrand, South Africa
9,2023-01-28,external,Siemens,Unknown,Grand Prairie, TX
10,2023-01-28,external,Siemens,Data and Analytics,Shelbyville, TN
11,2023-03-01,external,SpaceX,Business Operations,El Segundo, CA
12,2023-01-25,external,Siemens,Education,Casper, WY
13,2023-03-02,external,Siemens,Software Engineering,Hartford, CT
14,2023-01-04,external,Siemens,Science and Engineering,Cadillac, MI
15,2023-03-04,external,Siemens,Unknown,Edmonton, Canada
16,2023-02-21,external,Siemens,Sales,Magdeburg, Germany
17,2023-02-03,external,Siemens,Account Management,Tokyo, Japan
18,2023-02-08,external,Siemens,Business Operations,Mckeesport, PA
19,2023-01-06,external,Siemens,Software Engineering,Dalian, China
